"name","program","Quiz","Test","Final","course.score"
"S001","Program A",75.75,79,77,77.225
"S002","Program B",73.4,64,64,66.82
"S003","Program B",72.4,70,NA,NA
"S004","Program A",72.4,78,78,76.32
"S005","Program B",71.8,72,71,71.54
"S006","Program A",73.4,68,68,69.62
"S007","Program A",61.8,69,69,66.84
"S008","Program B",65.6,66,66,65.88
"S009","Program B",78.8,66,66,69.84
"S010","Program A",82.4,91,91,88.42
"S011","Program A",84.6,92,92,89.78
"S012","Program B",84.6,94,94,91.18
"S013","Program B",71.6,70,70,70.48
"S014","Program A",71.2,76,76,74.56
"S015","Program B",68.6,67,67,67.48
"S016","Program A",79.8,90,83,84.14
"S017","Program A",75.6,70.5,68,71.03
"S018","Program A",58,63.5,55,58.45
"S019","Program B",76.4,72,72,73.32
"S020","Program B",66.2,71.5,61,65.71
"S021","Program A",76,80,80,78.8
"S022","Program A",78.8,74,69,73.44
"S023","Program B",69.2,59,NA,NA
"S024","Program A",82.2,78,78,79.26
"S025","Program B",71.4,75,75,73.92
"S026","Program B",67.6,75.5,59,66.53
"S027","Program B",83.25,75,73,76.675
"S028","Program A",72.5,81,81,78.45
"S029","Program A",80.2,83,81,81.36
"S030","Program A",70.8,76,76,74.44
"S031","Program B",90.8,99,99,96.54
"S032","Program B",65,63.5,63,63.75
"S033","Program B",78.5,73,73,74.65
"S034","Program A",74.8,75,75,74.94
"S035","Program B",70.2,77,77,74.96
"S036","Program B",70,59,59,62.3
"S037","Program A",68.8,73,73,71.74
"S038","Program A",83.8,91,91,88.84
"S039","Program A",74.8,72,72,72.84
"S040","Program A",69.8,84,84,79.74
"S041","Program A",70,79,79,76.3
"S042","Program A",72.25,75,75,74.175
"S043","Program A",76.8,83,83,81.14
"S044","Program B",69.5,70,66,68.25
"S045","Program B",70.6,70,70,70.18
"S046","Program B",68.4,66,66,66.72
"S047","Program B",71,74,74,73.1
"S048","Program B",72.8,62,62,65.24
"S049","Program A",68.8,70,70,69.64
"S050","Program A",64.8,69,69,67.74
"S051","Program B",87.6,76,76,79.48
"S052","Program B",72.6,63,63,65.88
"S053","Program B",75.6,72,72,73.08
"S054","Program A",80.4,87.5,83,83.57
"S055","Program B",80,75.5,61,71.05
"S056","Program A",70,81,81,77.7
"S057","Program B",82.2,79,79,79.96
"S058","Program B",74.75,88,88,84.025
"S059","Program B",69.5,72,72,71.25
"S060","Program B",71.8,66,66,67.74
"S061","Program B",82.2,72,NA,NA
"S062","Program A",69.75,90,90,83.925
"S063","Program A",72.6,70,69,70.38
"S064","Program A",83.8,89,89,87.44
"S065","Program B",74.4,70,70,71.32
"S066","Program B",88.75,84,84,85.425
"S067","Program B",84.2,81,81,81.96
"S068","Program A",68.4,66,66,66.72
"S069","Program A",88.25,88,88,88.075
"S070","Program A",85.4,98,98,94.22
"S071","Program B",88.3333333333333,80,80,82.5
"S072","Program A",62.8,67,67,65.74
"S073","Program B",75.4,80,80,78.62
"S074","Program A",74.2,83,83,80.36
"S075","Program A",64.6666666666667,73.5,NA,NA
"S076","Program B",72,71,71,71.3
"S077","Program B",76.6,83,83,81.08
"S078","Program A",71.6,84,84,80.28
"S079","Program A",81.6,97,87,88.38
"S080","Program B",65.2,68,68,67.16
"S081","Program B",65.2,63.5,56,61.01
"S082","Program A",86.8,91,91,89.74
"S083","Program A",80.4,79.5,78,79.17
"S084","Program A",70.2,73,72,71.76
"S085","Program B",77,81,81,79.8
"S086","Program A",84.75,80,80,81.425
"S087","Program A",90.5,94,94,92.95
"S088","Program A",76.8,83,83,81.14
"S089","Program A",80,75,NA,NA
"S090","Program B",78.8,86,86,83.84
"S091","Program A",79,79,79,79
"S092","Program B",77.6,78,78,77.88
"S093","Program A",90.6,91,91,90.88
"S094","Program B",59.4,57,57,57.72
"S095","Program A",77.25,82,82,80.575
"S096","Program B",76.6,NA,67,NA
"S097","Program B",86.6,74,74,77.78
"S098","Program A",74.4,84,75,77.52
"S099","Program B",68.8,77,77,74.54
"S100","Program B",72.6,70,70,70.78
