"name","gender","Quiz1","Quiz2","Quiz3","Quiz4","final","dropped"
"S001","f",71,64,NA,59,67.5,59
"S002","f",75,78,93,59,82,59
"S003","f",97,71,77,56,81.6666666666667,56
"S004","f",79,NA,85,54,82,54
"S005","m",80,61,76,NA,78,61
"S006","f",99,NA,NA,75,99,75
"S007","f",84,63,72,40,73,40
"S008","f",NA,NA,74,73,74,73
"S009","m",70,69,NA,89,79.5,69
"S010","m",73,87,79,100,88.6666666666667,73
"S011","m",93,66,81,90,88,66
"S012","m",NA,83,82,81,82.5,81
"S013","m",83,51,92,44,75.3333333333333,44
"S014","m",79,73,NA,61,76,61
"S015","m",NA,81,70,65,75.5,65
"S016","m",99,78,97,81,92.3333333333333,78
"S017","f",84,75,76,68,78.3333333333333,68
"S018","f",54,65,73,51,64,51
"S019","m",86,62,NA,NA,86,62
"S020","m",72,60,67,84,74.3333333333333,60
"S021","f",65,76,74,74,74.6666666666667,65
"S022","m",75,61,86,88,83,61
"S023","f",66,67,91,50,74.6666666666667,50
"S024","f",69,70,87,80,79,69
"S025","f",70,100,76,62,82,62
"S026","f",58,65,81,80,75.3333333333333,58
"S027","f",88,77,73,69,79.3333333333333,69
"S028","f",80,75,NA,79,79.5,75
"S029","m",64,61,89,90,81,61
"S030","m",93,73,70,70,78.6666666666667,70
"S031","f",83,94,100,85,93,83
"S032","f",74,80,79,52,77.6666666666667,52
"S033","m",89,75,NA,NA,89,75
"S034","m",89,68,73,93,85,68
"S035","f",NA,45,74,NA,74,45
"S036","f",86,90,67,39,81,39
"S037","f",85,54,78,50,72.3333333333333,50
"S038","m",77,84,84,67,81.6666666666667,67
"S039","f",NA,100,83,83,91.5,83
"S040","f",73,54,72,68,71,54
"S041","m",NA,84,72,79,81.5,72
"S042","m",76,70,75,84,78.3333333333333,70
"S043","m",63,52,95,95,84.3333333333333,52
"S044","f",100,53,69,71,80,53
"S045","f",92,52,78,69,79.6666666666667,52
"S046","m",65,67,NA,44,66,44
"S047","m",73,54,79,71,74.3333333333333,54
"S048","m",72,NA,66,61,69,61
"S049","f",NA,100,73,55,86.5,55
"S050","f",77,56,85,67,76.3333333333333,56
"S051","m",81,85,76,85,83.6666666666667,76
"S052","m",78,85,NA,40,81.5,40
"S053","f",77,NA,77,64,77,64
"S054","f",94,60,81,72,82.3333333333333,60
"S055","f",75,72,96,57,81,57
"S056","m",96,70,79,75,83.3333333333333,70
"S057","m",59,82,91,76,83,59
"S058","f",85,69,86,70,80.3333333333333,69
"S059","f",79,88,79,33,82,33
"S060","m",81,69,65,100,83.3333333333333,65
"S061","f",83,89,75,NA,86,75
"S062","f",72,59,75,80,75.6666666666667,59
"S063","m",74,56,80,74,76,56
"S064","f",66,100,NA,85,92.5,66
"S065","m",65,68,100,82,83.3333333333333,65
"S066","f",82,78,95,67,85,67
"S067","f",83,NA,79,76,81,76
"S068","m",79,67,62,NA,73,62
"S069","m",89,81,76,NA,85,76
"S070","f",100,79,81,63,86.6666666666667,63
"S071","m",NA,NA,88,100,100,88
"S072","m",50,75,90,45,71.6666666666667,45
"S073","m",90,74,87,63,83.6666666666667,63
"S074","m",69,NA,66,82,75.5,66
"S075","m",70,64,88,NA,79,64
"S076","m",90,59,76,61,75.6666666666667,59
"S077","m",75,75,82,55,77.3333333333333,55
"S078","f",63,78,81,72,77,63
"S079","f",80,80,84,70,81.3333333333333,70
"S080","m",76,68,80,43,74.6666666666667,43
"S081","f",78,NA,63,71,74.5,63
"S082","m",83,92,87,73,87.3333333333333,73
"S083","m",NA,69,84,73,78.5,69
"S084","f",86,62,77,54,75,54
"S085","f",75,71,81,77,77.6666666666667,71
"S086","m",82,71,81,91,84.6666666666667,71
"S087","f",NA,90,82,77,86,77
"S088","m",83,75,96,53,84.6666666666667,53
"S089","m",74,85,78,63,79,63
"S090","f",92,67,82,NA,87,67
"S091","f",90,77,92,60,86.3333333333333,60
"S092","f",85,69,91,38,81.6666666666667,38
"S093","m",81,NA,91,83,87,81
"S094","f",70,61,74,NA,72,61
"S095","m",94,56,100,61,85,56
"S096","m",71,100,81,93,91.3333333333333,71
"S097","m",100,82,99,58,93.6666666666667,58
"S098","f",96,56,66,83,81.6666666666667,56
"S099","f",75,65,80,51,73.3333333333333,51
"S100","f",66,57,92,65,74.3333333333333,57
