"name","program","Quiz","Test","Final","course.score"
"S001","Program A",73.4,81,81,78.72
"S002","Program B",73.4,70,70,71.02
"S003","Program B",72.4,76,76,74.92
"S004","Program A",72.4,70,70,70.72
"S005","Program B",72,83,83,79.7
"S006","Program A",73.4,74,74,73.82
"S007","Program A",61.8,70,59,63.14
"S008","Program B",67,62,62,63.5
"S009","Program B",73.5,76,76,75.25
"S010","Program A",82.4,95,95,91.22
"S011","Program A",84.6,92,92,89.78
"S012","Program B",84.6,82,81,82.38
"S013","Program B",71.6,73.5,61,67.93
"S014","Program A",71.2,70,70,70.36
"S015","Program B",63.75,65,65,64.625
"S016","Program A",78.75,98,98,92.225
"S017","Program A",73.25,78.5,68,72.725
"S018","Program A",59.4,72,72,68.22
"S019","Program B",76.4,70,70,71.92
"S020","Program B",66.2,74,74,71.66
"S021","Program A",76,73,73,73.9
"S022","Program A",77.5,83,83,81.35
"S023","Program B",67.25,65,60,63.675
"S024","Program A",82.2,90,90,87.66
"S025","Program B",71.4,78,78,76.02
"S026","Program B",67.6,59.5,NA,NA
"S027","Program B",82.4,67.5,NA,NA
"S028","Program A",76.6,91,91,86.68
"S029","Program A",80.2,91,91,87.76
"S030","Program A",70.8,74,74,73.04
"S031","Program B",88.5,88,88,88.15
"S032","Program B",70.5,71.5,64,68.2
"S033","Program B",78.8,74,74,75.44
"S034","Program A",74.8,86,86,82.64
"S035","Program B",70.2,71,71,70.76
"S036","Program B",65.2,66,66,65.76
"S037","Program A",68.8,69,67,68.14
"S038","Program A",83.8,83,83,83.24
"S039","Program A",74.8,63,NA,NA
"S040","Program A",69.8,77,77,74.84
"S041","Program A",75.25,69,69,70.875
"S042","Program A",77.6,84,84,82.08
"S043","Program A",76.8,82,74,77.24
"S044","Program B",69.6,78,78,75.48
"S045","Program B",70.6,71,71,70.88
"S046","Program B",68.4,73.5,62,67.37
"S047","Program B",71,69,69,69.6
"S048","Program B",72.8,68,68,69.44
"S049","Program A",68.8,76,76,73.84
"S050","Program A",64.8,72,72,69.84
"S051","Program B",87.6,76,76,79.48
"S052","Program B",72.6,65,65,67.28
"S053","Program B",70,74,74,72.8
"S054","Program A",80.4,93,93,89.22
"S055","Program B",80,83,83,82.1
"S056","Program A",70,71,71,70.7
"S057","Program B",82.2,83,83,82.76
"S058","Program B",77.2,85,73,77.86
"S059","Program B",71,70,70,70.3
"S060","Program B",71.8,71,71,71.24
"S061","Program B",82.2,93,93,89.76
"S062","Program A",68.8,66,66,66.84
"S063","Program A",72.6,77,77,75.68
"S064","Program A",83.8,79.5,76,79.39
"S065","Program B",68,75,75,72.9
"S066","Program B",87.8,89,89,88.64
"S067","Program B",83,88,88,86.5
"S068","Program A",68.4,70,62,66.32
"S069","Program A",83.4,88,88,86.62
"S070","Program A",94,77.5,NA,NA
"S071","Program B",85.6,78,78,80.28
"S072","Program A",62.8,67,67,65.74
"S073","Program B",75.4,72,72,73.02
"S074","Program A",74.2,80,80,78.26
"S075","Program A",74.6,82,82,79.78
"S076","Program B",72,77,77,75.5
"S077","Program B",78.5,73,73,74.65
"S078","Program A",71.6,77,77,75.38
"S079","Program A",81.6,99,99,93.78
"S080","Program B",65.2,66,66,65.76
"S081","Program B",65.2,72,65,67.16
"S082","Program A",87.75,81,81,83.025
"S083","Program A",80.4,83,83,82.22
"S084","Program A",70.2,79.5,73,74.11
"S085","Program B",79.2,75,75,76.26
"S086","Program A",86.5,83,83,84.05
"S087","Program A",90.8,88,88,88.84
"S088","Program A",76.8,76,76,76.24
"S089","Program A",80,82,82,81.4
"S090","Program B",76.75,83,83,81.125
"S091","Program A",82.25,91,91,88.375
"S092","Program B",77.6,83,72,76.98
"S093","Program A",93.25,90.5,82,87.925
"S094","Program B",59.4,56.5,53,55.97
"S095","Program A",75.6,77,77,76.58
"S096","Program B",76.6,58.5,NA,NA
"S097","Program B",85.75,83.5,78,81.975
"S098","Program A",74.4,90,90,85.32
"S099","Program B",68.8,77,65,69.74
"S100","Program B",72.6,67,62,66.68
